Ref	Paire	Cible	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
z	z c	c	1	0.289999991655	0.28999999165535	0	1.38699996471	1.38699996471405	0	36	1
j	j s	s	1	0.790000021458	0.790000021457672	0	0.870999991894	0.870999991893768	0	64	1
h	h c	c	1	0.370000004768	0.370000004768372	0	1.16999995708	1.16999995708466	0	52	1
L	L J	J	1	0.0399999991059	0.0399999991059303	0	1.05400002003	1.05400002002716	0	35	1
m	m u	u	1	0.070000000298	0.0700000002980232	0	1.65400004387	1.65400004386902	0	20	1
M	M E	E	1	0.310000002384	0.310000002384186	0	1.82099997997	1.82099997997284	0	66	1
J	J S	S	1	0.709999978542	0.709999978542328	0	1.60500001907	1.60500001907349	0	34	1
s	s v	v	1	0	0	0	1.07099997997	1.07099997997284	0	39	1
b	b u	u	1	0.140000000596	0.140000000596046	0	0.921000003815	0.921000003814697	0	69	1
l	l p	p	1	0.209999993443	0.209999993443489	0	1.15499997139	1.15499997138977	0	65	1
m	m s	s	1	0.15000000596	0.150000005960464	0	0.989000022411	0.989000022411346	0	17	1
l	l i	i	1	0.0799999982119	0.0799999982118607	0	1.0720000267	1.07200002670288	0	18	1
R	R Z	Z	1	0.589999973774	0.589999973773956	0	1.65400004387	1.65400004386902	0	5	1
g	g r	r	1	0.579999983311	0.579999983310699	0	1.3370000124	1.33700001239777	0	24	1
M	M Q	Q	1	0.610000014305	0.610000014305115	0	1.73800003529	1.73800003528595	0	15	1
n	n n	n	1	1	1	0	1.18799996376	1.18799996376038	0	19	1
p	p r	r	1	0.180000007153	0.180000007152557	0	0.95300000906	0.953000009059906	0	56	1
m	m d	d	1	0.0500000007451	0.0500000007450581	0	0.722000002861	0.722000002861023	0	48	1
b	b a	a	1	0.829999983311	0.829999983310699	0	1.57099997997	1.57099997997284	0	41	1
k	k a	a	1	0.419999986887	0.419999986886978	0	1.80499994755	1.80499994754791	0	12	1
d	d v	v	1	0.509999990463	0.509999990463257	0	0.837999999523	0.837999999523163	0	37	1
d	d a	a	1	0.540000021458	0.540000021457672	0	1.13600003719	1.1360000371933	0	63	1
T	T N	N	1	0.769999980927	0.769999980926514	0	1.22099995613	1.22099995613098	0	61	1
E	E Y	Y	1	0.070000000298	0.0700000002980232	0	1.30499994755	1.30499994754791	0	53	1
O	O G	G	1	0.15000000596	0.150000005960464	0	1.45500004292	1.45500004291534	0	4	1
d	d q	q	1	0.230000004172	0.230000004172325	0	1.18599998951	1.18599998950958	0	68	1
B	B T	T	1	0.159999996424	0.159999996423721	0	0.90499997139	0.904999971389771	0	29	1
a	a o	o	1	0.289999991655	0.28999999165535	0	1.42100000381	1.4210000038147	0	26	1
C	C N	N	1	0.889999985695	0.889999985694885	0	1.7539999485	1.75399994850159	0	7	1
t	t p	p	1	0.449999988079	0.449999988079071	0	1.08800005913	1.08800005912781	0	57	1
b	b m	m	1	0.289999991655	0.28999999165535	0	1.35500001907	1.35500001907349	0	22	1
i	i y	y	1	0.019999999553	0.0199999995529652	0	1.68799996376	1.68799996376038	0	47	1
V	V P	P	1	0.709999978542	0.709999978542328	0	1.55400002003	1.55400002002716	0	70	1
Z	Z U	U	1	0.419999986887	0.419999986886978	0	1.5039999485	1.50399994850159	0	25	1
m	m n	n	1	0.189999997616	0.189999997615814	0	2.98699998856	2.98699998855591	0	0	1
c	c t	t	1	0.629999995232	0.629999995231628	0	1.15499997139	1.15499997138977	0	50	1
D	D J	J	1	0.379999995232	0.379999995231628	0	1.73800003529	1.73800003528595	0	28	1
T	T D	D	1	0.560000002384	0.560000002384186	0	1.72200000286	1.72200000286102	0	13	1
G	G C	C	1	0.730000019073	0.730000019073486	0	0.787999987602	0.787999987602234	0	42	1
c	c y	y	1	0.129999995232	0.129999995231628	0	1.67100000381	1.6710000038147	0	21	1
u	u g	g	1	0.070000000298	0.0700000002980232	0	1.75499999523	1.75499999523163	0	3	1
K	K E	E	1	0.649999976158	0.649999976158142	0	1.37000000477	1.37000000476837	0	6	1
B	B N	N	1	0.219999998808	0.219999998807907	0	1.45399999619	1.4539999961853	0	8	1
n	n z	z	1	0.25	0.25	0	0.855000019073	0.855000019073486	0	40	1
