	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
4386	o	4	o r	0.71667209	r	1	0.090000004	0.090000004	0	1.702999949	1.702999949	0	10	G
4396	s	4	s s	0.947743811	s	1	1	1	0	3.868999958	3.868999958	0	11	G
4406	x	4	x r	0.85047694	r	1	0.050000001	0.050000001	0	3.569000006	3.569000006	0	12	G
44110	t	4	t i	0.71968192	i	1	0.529999971	0.529999971	0	1.736999989	1.736999989	0	13	G
4426	f	4	f g	0.316171344	g	1	0.119999997	0.119999997	0	4.835999966	4.835999966	0	14	G
4436	o	4	o l	0.091184042	l	1	0.039999999	0.039999999	0	2.885999918	2.885999918	0	15	G
4446	v	4	v c	0.809881367	c	1	0.050000001	0.050000001	0	2.368999958	2.368999958	0	16	G
4456	o	4	o z	0.699756278	z	1	0.050000001	0.050000001	0	2.66899991	2.66899991	0	17	G
4466	m	4	m k	0.635358676	k	1	0.140000001	0.140000001	0	3.552999973	3.552999973	0	18	G
4476	n	4	n q	0.127303372	q	1	0.050000001	0.050000001	0	1.886000037	1.886000037	0	19	G
4486	k	4	k q	0.419213477	q	1	0.050000001	0.050000001	0	0.720000029	0.720000029	0	20	G
4496	c	4	c l	0.764347895	l	1	0.159999996	0.159999996	0	2.486000061	2.486000061	0	21	G
4506	b	4	b a	0.749002851	a	1	0.050000001	0.050000001	0	1.802000046	1.802000046	0	22	G
45110	e	4	e p	0.898146045	p	1	0.230000004	0.230000004	0	5.085000038	5.085000038	0	23	G
4526	j	4	j r	0.030653606	r	1	0.050000001	0.050000001	0	2.653000116	2.653000116	0	24	G
4536	q	4	q v	0.348271248	v	1	0.050000001	0.050000001	0	1.43599999	1.43599999	0	25	G
4546	o	4	o t	0.755939057	t	1	0.050000001	0.050000001	0	5.419000149	5.419000149	0	26	G
4556	j	4	j k	0.427221	k	1	0.050000001	0.050000001	0	1.503999949	1.503999949	0	27	G
4566	q	4	q r	0.974888447	r	1	0.050000001	0.050000001	0	2.186000109	2.186000109	0	28	G
4576	x	4	x t	0.68014296	t	1	0.330000013	0.330000013	0	1.90199995	1.90199995	0	29	G
4586	e	4	e s	0.536069784	s	1	0.059999999	0.059999999	0	1.802999973	1.802999973	0	30	G
4596	x	4	x q	0.982353569	q	1	0.159999996	0.159999996	0	1.286000013	1.286000013	0	31	G
4606	i	4	i n	0.342921826	n	1	0.090000004	0.090000004	0	1.985999942	1.985999942	0	32	G
46110	o	4	o y	0.335888968	y	1	0.050000001	0.050000001	0	5.434999943	5.434999943	0	33	G
4626	e	4	e v	0.907181396	v	1	0.07	0.07	0	4.702000141	4.702000141	0	34	G
4636	l	4	l s	0.472415108	s	1	0.219999999	0.219999999	0	1.735999942	1.735999942	0	35	G
4646	l	4	l u	0.553180268	u	1	0.079999998	0.079999998	0	2.802000046	2.802000046	0	36	G
4656	j	4	j j	0.516802333	j	1	0.959999979	0.959999979	0	1.886999965	1.886999965	0	37	G
4666	e	4	e d	0.160240812	d	1	0.449999988	0.449999988	0	4.585000038	4.585000038	0	38	G
4676	s	4	s n	0.432046937	n	1	0.07	0.07	0	5.235000134	5.235000134	0	39	G
4686	k	4	k n	0.828242133	n	1	0.050000001	0.050000001	0	1.419999957	1.419999957	0	40	G
4696	h	4	h c	0.870542673	c	1	0.050000001	0.050000001	0	2.219000101	2.219000101	0	41	G
4706	o	4	o n	0.896098074	n	1	0.050000001	0.050000001	0	0.920000017	0.920000017	0	42	G
47110	o	4	o b	0.660023551	b	1	0.050000001	0.050000001	0	1.202999949	1.202999949	0	43	G
4726	k	4	k k	0.547941461	k	1	0.949999988	0.949999988	0	2.321000099	2.321000099	0	44	G
4736	a	4	a l	0.267517361	l	1	0.039999999	0.039999999	0	3.436000109	3.436000109	0	45	G
4746	g	4	g g	0.096289839	g	1	0.99000001	0.99000001	0	2.585999966	2.585999966	0	46	G
4756	w	4	w p	0.332715358	p	1	0.029999999	0.029999999	0	3.618000031	3.618000031	0	47	G
4766	s	4	s a	0.462592183	a	1	0.25	0.25	0	1.669999957	1.669999957	0	48	G
4776	k	4	k i	0.074817591	i	1	0.180000007	0.180000007	0	1.136000037	1.136000037	0	49	G
4786	n	4	n s	0.17251291	s	1	0.289999992	0.289999992	0	1.618999958	1.618999958	0	50	G
4796	h	4	h l	0.14189259	l	1	0.360000014	0.360000014	0	2.286000013	2.286000013	0	51	G
4896	l	5	l z	0.839936844	z	1	0.119999997	0.119999997	0	7.934999943	7.934999943	0	0	G
4906	y	5	y b	0.06474788	b	1	0.230000004	0.230000004	0	1.569000006	1.569000006	0	1	G
49110	s	5	s t	0.312580369	t	1	0.079999998	0.079999998	0	1.570000052	1.570000052	0	2	G
4926	n	5	n n	0.419244637	n	1	0.959999979	0.959999979	0	1.902999997	1.902999997	0	3	G
4936	d	5	d t	0.06103866	t	1	0.039999999	0.039999999	0	1.368999958	1.368999958	0	4	G
4946	d	5	d o	0.437594856	o	1	0.079999998	0.079999998	0	1.353000045	1.353000045	0	5	G
4956	p	5	p r	0.385116939	r	1	0.569999993	0.569999993	0	1.503000021	1.503000021	0	6	G
4966	y	5	y y	0.513804699	y	1	0.980000019	0.980000019	0	1.886000037	1.886000037	0	7	G
4976	n	5	n w	0.377274235	w	1	0.219999999	0.219999999	0	1.638000011	1.638000011	0	8	G
4986	m	5	m n	0.186592357	n	1	0.800000012	0.800000012	0	2.887000084	2.887000084	0	9	G
4996	y	5	y e	0.423026444	e	1	0.340000004	0.340000004	0	2.519999981	2.519999981	0	10	G
5006	w	5	w m	0.097121456	m	1	0.280000001	0.280000001	0	3.469000101	3.469000101	0	11	G
50110	b	5	b o	0.065577959	o	1	0.02	0.02	0	1.386000037	1.386000037	0	12	G
5026	l	5	l x	0.436629951	x	1	0.059999999	0.059999999	0	1.368999958	1.368999958	0	13	G
5036	w	5	w j	0.462687516	j	1	0.059999999	0.059999999	0	0.638000011	0.638000011	0	14	G
5046	y	5	y d	0.545607591	d	1	0.289999992	0.289999992	0	4.170000076	4.170000076	0	15	G
5056	o	5	o p	0.347600838	p	1	0.029999999	0.029999999	0	1.503000021	1.503000021	0	16	G
5066	z	5	z e	0.108701066	e	1	0.150000006	0.150000006	0	2.986000061	2.986000061	0	17	G
